Table No.,Table Name,Table Column,Column heading,Column description,Extended Description 
6,T6_Frogs_Mercury,N,"Total Mercury, Wet (micrograms/g)",Total mercury concentration in micrograms per gram for undried sample,"0, not determined"
6,T6_Frogs_Mercury,O,Age ,Age classification of the sample ,"This is an approximate classification into either ""adult"" or ""juvenile""."
6,T6_Frogs_Mercury,P,Gender,Gender of the sample,"This is an categorical classification into either ""male"" or ""female"".0, not determined"
7,T7_Fish_Mercury,A,Station Map ID,Map reference identification number ,
7,T7_Fish_Mercury,B,USGS Station Name,U.S. Geological Survey station name,
7,T7_Fish_Mercury,C,USGS Station Number,U.S. Geological Survey station number,
7,T7_Fish_Mercury,D,Date,Date sample was collected,
7,T7_Fish_Mercury,E,Sample Type,Type of sample that was analyzed,
7,T7_Fish_Mercury,F,Common name ,Fish common name,
7,T7_Fish_Mercury,G,Genus and Species,Genus and species of the sample,
7,T7_Fish_Mercury,H,Sample Size,Number of organisms in the sample,
7,T7_Fish_Mercury,I,Body Part,Body part analyzed,
7,T7_Fish_Mercury,J,Total Length (mm),Total length of the sample in milimeters,If more than one fish was analyzed than this value is the average length of all the fish analyzed
7,T7_Fish_Mercury,K,Total Length Standard Deviation,Standard deviation of the lengths of the fish analyzed,"0, not determined"
7,T7_Fish_Mercury,L,Total Weight (g) ,Total weight of the sample in grams,If more than one fish was analyzed than this value is the average weight of all the fish analyzed
7,T7_Fish_Mercury,M,Total weight Standard Deviation,Standard deviation of the weights of the fish analyzed,"0, not determined"
7,T7_Fish_Mercury,N,"Total Mercury, Dry (mg/kg)",Total mercury concentration in miligrams per kilogram for dried sample,
7,T7_Fish_Mercury,O,"Total Mercury, Wet (mg/kg)",Total mercury concentration in miligrams per kilogram for undried sample,
7,T7_Fish_Mercury,P,Moisture (percent),Sample moisture in percent,
7,T7_Fish_Mercury,Q,Gender,Gender of the sample,"This is an categorical classification into either ""male"" or ""female"".0, not determined"
8,T8_Water_FieldParameters,A,Station Map ID,Map reference identification number ,
8,T8_Water_FieldParameters,B,USGS Station Name,U.S. Geological Survey station name,
8,T8_Water_FieldParameters,C,USGS Station Number,U.S. Geological Survey station number,
8,T8_Water_FieldParameters,D,Date,Date sample was collected,
8,T8_Water_FieldParameters,E,Time,Time sample was collected,
8,T8_Water_FieldParameters,F,Sample Type,Type of sample that was analyzed,
8,T8_Water_FieldParameters,G,Water Temperature (degrees Celsius),Water temperatre at time of collection in degrees Celsius,"0, not determined"
8,T8_Water_FieldParameters,H,pH,Water pH at time of sample collection,"0, not determined"
8,T8_Water_FieldParameters,I,Specific conductance (microsiemens/cm),Water specific conductance at time of sample collection,"0, not determined"
8,T8_Water_FieldParameters,J,Dissolved oxygen (mg/L),Water dissolved oxygen in milligrams per liter at time of sample collection,"0, not determined"
8,T8_Water_FieldParameters,K,"Discharge, instantaneous, cubic feet per second",Stream discharge in cubic feet per second ,"0, not determined"
8,T8_Water_FieldParameters,L,Barometric pressure (millimeters of mercury),Barometric pressure in millimeters of mercury at time of sample collection,"0, not determined"
8,T8_Water_FieldParameters,M,"Dissolved oxygen, water, unfiltered, percent of saturation",Percent saturation of dissolved oxygen at time of sample collection,"0, not determined"
8,T8_Water_FieldParameters,N,Suspended sediment concentration (mg/L),Suspended sediment concentration in milligrams per liter ,"0, not determined"
8,T8_Water_FieldParameters,O,"Suspended sediment, percentage finer than 0.063 mm",Suspended sediment percentage finer than 0.063 millimters,"0, not determined"
9,T9_Water_Isotopes_Nutrients_MajorIons,A,Station Map ID,Map reference identification number ,
9,T9_Water_Isotopes_Nutrients_MajorIons,B,USGS Station Name,U.S. Geological Survey station name,
9,T9_Water_Isotopes_Nutrients_MajorIons,C,USGS Station Number,U.S. Geological Survey station number,
9,T9_Water_Isotopes_Nutrients_MajorIons,D,Date,Date sample was collected,
9,T9_Water_Isotopes_Nutrients_MajorIons,E,Time,Time sample was collected,
9,T9_Water_Isotopes_Nutrients_MajorIons,F,Sample Type,Type of sample that was analyzed,
9,T9_Water_Isotopes_Nutrients_MajorIons,G,Delta-18O SO4 (per mil VSMOW),"Delta-oxygen-18 in aqueous sulfate, per mil, Vienna Standard Mean Ocean Water","0, not determined"
9,T9_Water_Isotopes_Nutrients_MajorIons,H,Delta-34S SO4 (per mil CDT),"Delta-sulfur-34 in aqueous sulfate per mil, per thousand, Canyon Diablo Meteorite","0, not determined"
9,T9_Water_Isotopes_Nutrients_MajorIons,I,Delta-18O H2O (per mil VSMOW),"Delta-oxygen-18 in water, per mil, Vienna Standard Mean Ocean Water","0, not determined"
9,T9_Water_Isotopes_Nutrients_MajorIons,J,Delta-D H2O (per mil VSMOW),"Delta-deuterium in water, per mil, Vienna Standard Mean Ocean Water","0, not determined"
9,T9_Water_Isotopes_Nutrients_MajorIons,K,"Nitrogen, ammonia, filtered (mg/L)",Nitrogen as ammonia concentration of the filtered water sample in milligrams per liter,"0, not determined"
9,T9_Water_Isotopes_Nutrients_MajorIons,L,"Nigrogen, ammonia plus organic, filtered (mg/L)",Nitrogen as ammonia plus organic nitrogen concentration of the filtered water sample in milligrams per liter,"0, not determined"
9,T9_Water_Isotopes_Nutrients_MajorIons,M,"Nitrogen, ammonia plus organic, unfiltered (mg/L)",Nitrogen as ammonia plus organic nitrogen concentration of the unfiltered water sample in milligrams per liter,"0, not determined"
9,T9_Water_Isotopes_Nutrients_MajorIons,N,"Nitrogen, nitrite plus nitrate, filtered (mg/L)",Nitrogen as nitrite plus nitrate concentration of the dissolved fraction of the water sample in milligrams per liter,"0, not determined"
9,T9_Water_Isotopes_Nutrients_MajorIons,O,"Nitrogen, nitrite, filtered (mg/L)",Nitrogen as nitrite concentration of the dissolved fraction of the water sample in milligrams per liter,"0, not determined"
9,T9_Water_Isotopes_Nutrients_MajorIons,P,"Total nitrogen, particulate (mg/L)",Total nitrogen concentration of the particulate fraction of the water sample in milligrams per liter,"0, not determined"
9,T9_Water_Isotopes_Nutrients_MajorIons,Q,"Total phosphorus, filtered (mg/L)",Total phosphours concentration of the dissolved fraction of the water sample in milligrams per liter,"0, not determined"
9,T9_Water_Isotopes_Nutrients_MajorIons,R,"Phosphorous, orthophosphate, filtered (mg/)",Phosphours as orthophosphate concentration of the dissolved fraction of the water sample in milligrams per liter,"0, not determined"
9,T9_Water_Isotopes_Nutrients_MajorIons,S,"Total phosphorus, unfiltered (mg/L)",Total phosphours concentration of the particulate fraction of the water sample in milligrams per liter,"0, not determined"
9,T9_Water_Isotopes_Nutrients_MajorIons,T,"Carbon, inorganic plus organic, particulate (mg/L)",Combined organic and inorganic carbon concentration of the particulate fraction of the water sample in milligrams per liter,"0, not determined"
9,T9_Water_Isotopes_Nutrients_MajorIons,U,"Carbon, organic, filtered (mg/L)",Organic carbon concentration of the dissolved fraction of the water sample in milligrams per liter,"0, not determined"
9,T9_Water_Isotopes_Nutrients_MajorIons,V,"Carbon, organic, particulate (mg/L)",Organic carbon concentration of the particulate fraction of the water sample in milligrams per liter,"0, not determined"
9,T9_Water_Isotopes_Nutrients_MajorIons,W,"Alkalinity, laboratory (mg/L as CaCO3)",Alkalanity of the water sample as measured in milligrams per liter of calcium carbonate at the laboratory,"0, not determined"
9,T9_Water_Isotopes_Nutrients_MajorIons,X,Chloride (mg/L),Chloride concentration in water in milligrams per liter,"0, not determined"
9,T9_Water_Isotopes_Nutrients_MajorIons,Y,Sulfate (mg/L),Sulfate concentration in water in milligrams per liter,"0, not determined"
10,T10_Water_TraceElements_Filtered,A,Station Map ID,Map reference identification number ,
10,T10_Water_TraceElements_Filtered,B,USGS Station Name,U.S. Geological Survey station name,
10,T10_Water_TraceElements_Filtered,C,USGS Station Number,U.S. Geological Survey station number,
10,T10_Water_TraceElements_Filtered,D,Date,Date sample was collected,
10,T10_Water_TraceElements_Filtered,E,Time,Time sample was collected,
10,T10_Water_TraceElements_Filtered,F,Sample Type,Type of sample that was analyzed,
10,T10_Water_TraceElements_Filtered,G,Silver Filtered (micrograms/L),Sliver concentration in micrograms per liter in the filtered water sample,"0, not determined"
10,T10_Water_TraceElements_Filtered,H,Aluminum Filtered (micrograms/L),Aluminum concentration in micrograms per liter in the filtered water sample,"0, not determined"
10,T10_Water_TraceElements_Filtered,I,Arsenic Filtered  (micrograms/L),Arsenic concentration in micrograms per liter in the filtered water sample,
10,T10_Water_TraceElements_Filtered,J,Boron Filtered (micrograms/L),Boron concentration in micrograms per liter in the filtered water sample,
10,T10_Water_TraceElements_Filtered,K,Barium Filtered  (micrograms/L),Barium concentration in micrograms per liter in the filtered water sample,
10,T10_Water_TraceElements_Filtered,L,Beryllium Filtered  (micrograms/L),Beryllium concentration in micrograms per liter in the filtered water sample,
10,T10_Water_TraceElements_Filtered,M,Bismuth Filtered  (micrograms/L),Bismuth concentration in micrograms per liter in the filtered water sample,
10,T10_Water_TraceElements_Filtered,N,Calcium Filtered  (mg/L),Calcium concentration in milligrams per liter in the filtered water sample,"0, not determined"
10,T10_Water_TraceElements_Filtered,O,Cadmium Filtered (micrograms/L),Cadmium concentration in micrograms per liter in the filtered water sample,
10,T10_Water_TraceElements_Filtered,P,Cerium Filtered (micrograms/L),Cerium concentration in micrograms per liter in the filtered water sample,
10,T10_Water_TraceElements_Filtered,Q,Cobalt Filtered (micrograms/L),Cobalt concentration in micrograms per liter in the filtered water sample,
10,T10_Water_TraceElements_Filtered,R,Chromium  Filtered (micrograms/L),Chromium concentration in micrograms per liter in the filtered water sample,
10,T10_Water_TraceElements_Filtered,S,Cesium Filtered (micrograms/L),Cesium concentration in micrograms per liter in the filtered water sample,
10,T10_Water_TraceElements_Filtered,T,Copper Filtered (micrograms/L),Copper concentration in micrograms per liter in the filtered water sample,
10,T10_Water_TraceElements_Filtered,U,Dysprosium Filtered (micrograms/L),Dysprosium concentration in micrograms per liter in the filtered water sample,
10,T10_Water_TraceElements_Filtered,V,Erbium Filtered (micrograms/L),Erbium concentration in micrograms per liter in the filtered water sample,
10,T10_Water_TraceElements_Filtered,W,Europium  Filtered (micrograms/L),Europium concentration in micrograms per liter in the filtered water sample,
10,T10_Water_TraceElements_Filtered,X,Iron Filtered (micrograms/L),Iron concentration in micrograms per liter in the filtered water sample,"0, not determined"
10,T10_Water_TraceElements_Filtered,Y,Gadolinium Filtered (micrograms/L),Gadolinium concentration in micrograms per liter in the filtered water sample,
10,T10_Water_TraceElements_Filtered,Z,Holmium  Filtered (micrograms/L),Holmium concentration in micrograms per liter in the filtered water sample,
10,T10_Water_TraceElements_Filtered,AA,Potassium  Filtered (mg/L),Potassium concentration in milligrams per liter in the filtered water sample,"0, not determined"
10,T10_Water_TraceElements_Filtered,AB,Lanthanum  Filtered (micrograms/L),Lanthanum concentration in micrograms per liter in the filtered water sample,
10,T10_Water_TraceElements_Filtered,AC,Lithium Filtered (micrograms/L),Lithium concentration in micrograms per liter in the filtered water sample,
10,T10_Water_TraceElements_Filtered,AD,Lutetium Filtered (micrograms/L),Luetium concentration in micrograms per liter in the filtered water sample,
10,T10_Water_TraceElements_Filtered,AE,Magnesium  Filtered (mg/L),Magnesium concentration in milligrams per liter in the filtered water sample,"0, not determined"
10,T10_Water_TraceElements_Filtered,AF,Manganese  Filtered (micrograms/L),Manganese concentration in micrograms per liter in the filtered water sample,
10,T10_Water_TraceElements_Filtered,AG,Molybdenum Filtered (micrograms/L),Molybdenum concentration in micrograms per liter in the filtered water sample,"0, not determined"
10,T10_Water_TraceElements_Filtered,AH,Sodium Filtered (mg/L),Sodium concentration in milligrams per liter in the filtered water sample,"0, not determined"
10,T10_Water_TraceElements_Filtered,AI,Neodymium  Filtered (micrograms/L),Neodymium concentration in micrograms per liter in the filtered water sample,
10,T10_Water_TraceElements_Filtered,AJ,Nickel Filtered  (micrograms/L),Nickel concentration in micrograms per liter in the filtered water sample,
10,T10_Water_TraceElements_Filtered,AK,Lead Filtered (micrograms/L),Lead concentration in micrograms per liter in the filtered water sample,
10,T10_Water_TraceElements_Filtered,AL,Praesodymium  Filtered (micrograms/L),Praesodymium concentration in micrograms per liter in the filtered water sample,
10,T10_Water_TraceElements_Filtered,AM,Rubidium Filtered (micrograms/L),Rubidium concentration in micrograms per liter in the filtered water sample,
10,T10_Water_TraceElements_Filtered,AN,Rhenium  Filtered (micrograms/L),Rhenium concentration in micrograms per liter in the filtered water sample,
10,T10_Water_TraceElements_Filtered,AO,Sulfur Filtered (mg/L),Sulfur concentration in milligrams per liter in the filtered water sample,"0, not determined"
10,T10_Water_TraceElements_Filtered,AP,Antimony  Filtered (micrograms/L),Antimony concentration in micrograms per liter in the filtered water sample,
10,T10_Water_TraceElements_Filtered,AQ,Scandium Filtered (micrograms/L),Scandium concentration in micrograms per liter in the filtered water sample,"0, not determined"
10,T10_Water_TraceElements_Filtered,AR,Selenium  Filtered (micrograms/L),Selenium concentration in micrograms per liter in the filtered water sample,
10,T10_Water_TraceElements_Filtered,AS,Silica Filtered (mg/L as SiO2),Silica concentration in milligrams per liter of sillicon dioxide in the filtered water sample,"0, not determined"
10,T10_Water_TraceElements_Filtered,AT,Samarium  Filtered (micrograms/L),Samarium concentration in micrograms per liter in the filtered water sample,
10,T10_Water_TraceElements_Filtered,AU,Tin Filtered (micrograms/L),Tin concentration in micrograms per liter in the filtered water sample,"0, not determined"
10,T10_Water_TraceElements_Filtered,AV,Strontium  Filtered (micrograms/L),Strontium concentration in micrograms per liter in the filtered water sample,
10,T10_Water_TraceElements_Filtered,AW,Terbium  Filtered (micrograms/L),Terbium concentration in micrograms per liter in the filtered water sample,
10,T10_Water_TraceElements_Filtered,AX,Tellurium Filtered  (micrograms/L),Tellurium concentration in micrograms per liter in the filtered water sample,
10,T10_Water_TraceElements_Filtered,AY,Thorium Filtered (micrograms/L),Thorium concentration in micrograms per liter in the filtered water sample,
10,T10_Water_TraceElements_Filtered,AZ,Thallium  Filtered (micrograms/L),Thallium concentration in micrograms per liter in the filtered water sample,
10,T10_Water_TraceElements_Filtered,BA,Thulium Filtered (micrograms/L),Thulium concentration in micrograms per liter in the filtered water sample,
10,T10_Water_TraceElements_Filtered,BB,Uranium  Filtered (micrograms/L),Uranium concentration in micrograms per liter in the filtered water sample,
10,T10_Water_TraceElements_Filtered,BC,Vanadium Filtered (micrograms/L),Vanadium concentration in micrograms per liter in the filtered water sample,
10,T10_Water_TraceElements_Filtered,BD,Tungsten Filtered (micrograms/L),Tungsten concentration in micrograms per liter in the filtered water sample,"0, not determined"
10,T10_Water_TraceElements_Filtered,BE,Yttrium Filtered (micrograms/L),Yttrium concentration in micrograms per liter in the filtered water sample,
10,T10_Water_TraceElements_Filtered,BF,Ytterbium Filtered (micrograms/L),Ytterbium concentration in micrograms per liter in the filtered water sample,
10,T10_Water_TraceElements_Filtered,BG,Zinc Filtered (micrograms/L),Zinc concentration in micrograms per liter in the filtered water sample,
10,T10_Water_TraceElements_Filtered,BH,Zirconium Filtered (micrograms/L),Zirconium concentration in micrograms per liter in the filtered water sample,"0, not determined"
11,T11_Water_TraceElements_Unfiltered,A,Station Map ID,Map reference identification number ,
11,T11_Water_TraceElements_Unfiltered,B,USGS Station Name,U.S. Geological Survey station name,
11,T11_Water_TraceElements_Unfiltered,C,USGS Station Number,U.S. Geological Survey station number,
11,T11_Water_TraceElements_Unfiltered,D,Date,Date sample was collected,
11,T11_Water_TraceElements_Unfiltered,E,Time,Time sample was collected,
11,T11_Water_TraceElements_Unfiltered,F,Sample Type,Type of sample that was analyzed,Environmental Disturbed samples were collected at a site where the stream bottom sediments were disturbed at the time of collection or where there was visible mercury present
11,T11_Water_TraceElements_Unfiltered,G,Silver Unfiltered (micrograms/L),Sliver concentration in micrograms per liter in the unfiltered water sample,"0, not determined"
11,T11_Water_TraceElements_Unfiltered,H,Aluminum Unfiltered (micrograms/L),Aluminum concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,I,Arsenic Unfiltered (micrograms/L),Arsenic concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,J,Boron Unfiltered (micrograms/L),Boron concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,K,Barium Unfiltered (micrograms/L),Barium concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,L,Beryllium Unfiltered (micrograms/L),Beryllium concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,M,Bismuth Unfiltered (micrograms/L),Bismuth concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,N,Calcium Unfiltered (mg/L),Calcium concentration in milligrams per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,O,Cadmium Unfiltered (micrograms/L),Cadmium concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,P,Cerium Unfiltered (micrograms/L),Cerium concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,Q,Cobalt Unfiltered (micrograms/L),Cobalt concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,R,Chromium Unfiltered (micrograms/L),Chromium concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,S,Cesium Unfiltered (micrograms/L),Cesium concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,T,Copper Unfiltered (micrograms/L),Copper concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,U,Dysprosium Unfiltered (micrograms/L),Dysprosium concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,V,Erbium Unfiltered (micrograms/L),Erbium concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,W,Europium Unfiltered (micrograms/L),Europium concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,X,Iron Unfiltered (micrograms/L),Iron concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,Y,Gadolinium Unfiltered (micrograms/L),Gadolinium concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,Z,Holmium Unfiltered (micrograms/L),Holmium concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,AA,Potassium Unfiltered (mg/L),Potassium concentration in milligrams per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,AB,Lanthanum Unfiltered (micrograms/L),Lanthanum concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,AC,Lithium Unfiltered (micrograms/L),Lithium concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,AD,Lutetium Unfiltered (micrograms/L),Luetium concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,AE,Magnesium Unfiltered (mg/L),Magnesium concentration in milligrams per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,AF,Manganese Unfiltered (micrograms/L),Manganese concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,AG,Molybdenum Unfiltered (micrograms/L),Molybdenum concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,AH,Sodium Unfiltered (mg/L),Sodium concentration in milligrams per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,AI,Neodymium Unfiltered (micrograms/L),Neodymium concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,AJ,Nickel Unfiltered (micrograms/L),Nickel concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,AK,Lead Unfiltered (micrograms/L),Lead concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,AL,Praesodymium Unfiltered (micrograms/L),Praesodymium concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,AM,Rubidium Unfiltered (micrograms/L),Rubidium concentration in micrograms per liter in the unfiltered water sample,
11,T11_Water_TraceElements_Unfiltered,AN,Rhenium Unfiltered (micrograms/L),Rhenium concentration in micrograms per liter in the unfiltered water sample,
